mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,cpu_set_2,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
7,2,328,1544,1,26,20,23688,1544,2,0.0,0.35,0.36,0.0,0.0,0.0,0.0,0.0,False
15,12,2600,6200,1,3,0,2216,712,2,0.0,0.36,0.35,0.0,0.0,0.0,0.0,0.0,False
7,2,328,424,1,13,7,3368,5736,2,0.0,0.27,0.37,0.0,0.0,0.0,0.0,0.0,False
13,8,7480,968,1,10,4,7480,2280,2,0.0,0.32,0.37,0.0,0.0,0.0,0.0,0.0,False
6,1,5160,744,1,20,17,376,10680,2,0.0,0.35,0.39,0.0,0.0,0.0,0.0,0.0,False
15,9,11064,1736,1,8,4,2536,2728,2,0.0,0.32,0.36,0.0,0.0,0.0,0.0,0.0,False
10,4,5160,2728,1,26,20,15840,5160,2,0.0,0.36,0.38,0.0,0.0,0.0,0.0,0.0,False
7,2,3624,1288,1,15,11,11832,8504,2,0.0,0.35,0.46,0.0,0.0,0.0,0.0,0.0,False
3,0,328,152,1,13,8,10680,4264,2,0.0,0.26,0.38,0.0,0.0,0.0,0.0,0.0,False
3,0,2408,1320,1,13,8,8760,5160,2,0.0,0.38,0.39,0.0,0.0,0.0,0.0,0.0,False
26,20,4264,1160,1,15,10,5992,5736,2,0.0,0.28,0.39,0.0,0.0,0.0,0.0,0.0,False
18,15,3624,1128,1,11,6,7992,4136,2,0.0,0.29,0.39,0.0,0.0,0.0,0.0,0.0,False
3,0,1608,1256,1,19,17,15264,9144,2,0.0,0.39,0.44,0.0,0.0,0.0,0.0,0.0,False
8,2,1928,568,1,15,10,6456,4584,2,0.0,0.3,0.36,0.0,0.0,0.0,0.0,0.0,False
18,14,6200,7224,1,8,2,392,1384,2,0.0,0.38,0.33,0.0,0.0,0.0,0.0,0.0,False
8,4,5544,3368,1,8,2,5352,2216,2,0.0,0.4,0.38,0.0,0.0,0.0,0.0,0.0,False
2,0,2216,1032,1,15,11,13536,680,2,0.0,0.38,0.34,0.0,0.0,0.0,0.0,0.0,False
19,17,15264,10680,1,22,19,22152,15264,2,0.0,0.47,0.52,0.0,0.0,0.0,0.0,0.0,False
15,12,7224,2984,1,26,20,19848,10296,2,0.0,0.33,0.43,0.0,0.0,0.0,0.0,0.0,False
25,20,1736,11448,1,18,14,3880,12576,2,0.0,0.38,0.43,0.0,0.0,0.0,0.0,0.0,False
25,20,9912,18336,1,4,0,632,968,2,0.0,0.5,0.34,0.0,0.0,0.0,0.0,0.0,False
6,1,2280,968,1,8,2,6712,1192,2,0.0,0.34,0.36,0.0,0.0,0.0,0.0,0.0,False
4,0,1544,936,1,24,20,21384,10680,2,0.0,0.35,0.45,0.0,0.0,0.0,0.0,0.0,False
15,10,3496,2856,1,11,6,328,1992,2,0.0,0.31,0.29,0.0,0.0,0.0,0.0,0.0,False
8,4,2344,2408,1,15,9,4008,3752,2,0.0,0.36,0.34,0.0,0.0,0.0,0.0,0.0,False
25,20,18336,10680,1,20,18,4392,11448,2,0.0,0.45,0.41,0.0,0.0,0.0,0.0,0.0,False
3,0,2536,488,1,11,6,8760,1736,2,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,False
13,7,9528,5160,1,4,0,552,840,2,0.0,0.41,0.34,0.0,0.0,0.0,0.0,0.0,False
2,0,32,88,1,4,0,1800,568,2,0.0,0.24,0.34,0.0,0.0,0.0,0.0,0.0,False
6,1,1864,872,1,18,15,3624,3752,2,0.0,0.34,0.31,0.0,0.0,0.0,0.0,0.0,False
24,20,19080,9144,1,8,4,1096,2408,2,0.0,0.43,0.34,0.0,0.0,0.0,0.0,0.0,False
11,6,8504,712,1,11,6,8504,256,2,0.0,0.33,0.32,0.0,0.0,0.0,0.0,0.0,False
20,18,776,10296,1,8,4,4776,840,2,0.0,0.39,0.32,0.0,0.0,0.0,0.0,0.0,False
19,17,2536,10296,1,20,17,9528,14112,2,0.0,0.4,0.47,0.0,0.0,0.0,0.0,0.0,False
20,18,16416,3624,1,2,0,1384,968,2,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0,False
15,11,7480,6712,1,20,17,17568,14688,2,0.0,0.42,0.51,0.0,0.0,0.0,0.0,0.0,False
