mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
4,0,2216,176,"1-3,5-7",0.0,0.21,0.03,0.03,0.0,0.01,0.0,0.0,False
18,15,3880,12960,"1-3,5-7",0.0,0.33,0.04,0.04,0.0,0.02,0.0,0.0,False
20,18,18336,7480,"1-3,5-7",0.0,0.32,0.04,0.04,0.0,0.02,0.0,0.0,False
2,0,1864,568,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
4,0,3240,776,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
25,20,15264,17568,"1-3,5-7",0.0,0.4,0.05,0.05,0.0,0.03,0.0,0.0,False
18,14,6712,1256,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
22,19,11064,2856,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
2,0,744,968,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
8,2,1928,1992,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
8,2,4264,744,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
26,20,8504,15264,"1-3,5-7",0.0,0.34,0.04,0.04,0.0,0.02,0.0,0.0,False
4,0,3496,712,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
24,20,5352,3624,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
22,19,22152,7224,"1-3,5-7",0.0,0.31,0.04,0.04,0.0,0.02,0.0,0.0,False
13,8,4136,1256,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
22,19,5160,11448,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
8,2,6200,696,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
19,17,17568,11064,"1-3,5-7",0.0,0.37,0.05,0.05,0.0,0.02,0.0,0.0,False
2,0,1672,936,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
11,6,4392,1224,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
18,14,12216,9912,"1-3,5-7",0.0,0.34,0.05,0.05,0.0,0.02,0.0,0.0,False
20,17,376,11064,"1-3,5-7",0.0,0.29,0.04,0.04,0.0,0.02,0.0,0.0,False
7,2,4584,1064,"1-3,5-7",0.0,0.26,0.04,0.04,0.0,0.02,0.0,0.0,False
15,9,4968,6712,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
8,2,1544,296,"1-3,5-7",0.0,0.2,0.03,0.03,0.0,0.01,0.0,0.0,False
3,0,1672,152,"1-3,5-7",0.0,0.21,0.03,0.03,0.0,0.01,0.0,0.0,False
25,20,7480,4392,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
3,0,872,256,"1-3,5-7",0.0,0.21,0.03,0.03,0.0,0.01,0.0,0.0,False
2,0,1160,504,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
13,8,1128,2792,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
26,20,8504,5992,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
25,20,15840,7224,"1-3,5-7",0.0,0.29,0.04,0.04,0.0,0.02,0.0,0.0,False
3,0,968,1352,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
18,15,11832,3752,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
7,2,1480,424,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
4,0,1800,648,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
22,19,1384,13536,"1-3,5-7",0.0,0.32,0.04,0.04,0.0,0.02,0.0,0.0,False
24,20,22920,10296,"1-3,5-7",0.0,0.33,0.04,0.04,0.0,0.02,0.0,0.0,False
8,2,5992,1672,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
15,10,11448,2856,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
25,20,24496,5544,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
8,2,6456,1192,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
15,12,7480,4584,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
26,20,10296,15264,"1-3,5-7",0.0,0.35,0.05,0.05,0.0,0.02,0.0,0.0,False
24,20,23688,5160,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
15,10,2856,1256,"1-3,5-7",0.0,0.21,0.03,0.03,0.0,0.01,0.0,0.0,False
15,11,11064,8504,"1-3,5-7",0.0,0.34,0.04,0.04,0.0,0.02,0.0,0.0,False
25,20,3496,18336,"1-3,5-7",0.0,0.35,0.05,0.05,0.0,0.02,0.0,0.0,False
19,17,6712,4008,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
15,12,256,9912,"1-3,5-7",0.0,0.31,0.04,0.04,0.0,0.02,0.0,0.0,False
5,0,3112,1064,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
22,19,20616,17568,"1-3,5-7",0.0,0.38,0.05,0.05,0.0,0.03,0.0,0.0,False
15,10,256,616,"1-3,5-7",0.0,0.19,0.02,0.02,0.0,0.01,0.0,0.0,False
15,9,7480,5544,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
11,6,4264,936,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
19,17,10680,5160,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
20,17,11064,5160,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
13,8,3368,2792,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
24,20,13536,16992,"1-3,5-7",0.0,0.37,0.05,0.05,0.0,0.02,0.0,0.0,False
8,4,5352,3240,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
7,2,5352,1864,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
8,4,968,2664,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
15,10,12960,3368,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
15,9,3752,2856,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
8,4,1096,488,"1-3,5-7",0.0,0.2,0.03,0.03,0.0,0.01,0.0,0.0,False
18,15,1928,8504,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
5,0,872,1096,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
15,10,10680,5992,"1-3,5-7",0.0,0.32,0.04,0.04,0.0,0.02,0.0,0.0,False
15,9,5544,1544,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
20,18,7480,328,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
18,15,7224,3112,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
