mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,cpu_set_2,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
10,4,1416,3240,"1-3,5-7",8,2,1096,872,"1-3,5-7",0.0,0.29,0.23,0.04,0.0,0.04,0.05,0.05,False
11,6,7480,2984,"1-3,5-7",13,7,7736,3880,"1-3,5-7",0.0,0.29,0.28,0.04,0.0,0.04,0.06,0.06,False
7,2,3880,2024,"1-3,5-7",13,8,5352,5544,"1-3,5-7",0.0,0.31,0.3,0.04,0.0,0.04,0.06,0.06,False
22,19,9912,9912,"1-3,5-7",6,1,3112,1192,"1-3,5-7",0.0,0.33,0.29,0.04,0.0,0.04,0.06,0.06,False
26,20,27376,17568,"1-3,5-7",25,20,9912,5160,"1-3,5-7",0.0,0.43,0.27,0.06,0.0,0.06,0.07,0.05,False
20,18,1160,12576,"1-3,5-7",5,0,1224,616,"1-3,5-7",0.0,0.32,0.25,0.04,0.0,0.04,0.05,0.05,False
13,8,208,4776,"1-3,5-7",19,17,11064,2472,"1-3,5-7",0.0,0.27,0.26,0.04,0.0,0.04,0.05,0.05,False
13,7,6456,4264,"1-3,5-7",26,20,16416,8760,"1-3,5-7",0.0,0.32,0.29,0.04,0.0,0.04,0.06,0.06,False
7,2,328,936,"1-3,5-7",15,12,13536,7480,"1-3,5-7",0.0,0.36,0.25,0.05,0.0,0.05,0.06,0.05,False
13,7,11448,5736,"1-3,5-7",26,20,26416,4008,"1-3,5-7",0.0,0.34,0.31,0.05,0.0,0.05,0.06,0.06,False
11,6,8504,4008,"1-3,5-7",18,15,2984,6968,"1-3,5-7",0.0,0.31,0.28,0.04,0.0,0.04,0.06,0.06,False
5,0,2984,32,"1-3,5-7",18,14,3880,10680,"1-3,5-7",0.0,0.34,0.21,0.04,0.0,0.04,0.05,0.04,False
25,20,20616,3112,"1-3,5-7",24,20,15840,15264,"1-3,5-7",0.0,0.38,0.29,0.05,0.0,0.05,0.06,0.06,False
15,12,14112,3880,"1-3,5-7",2,0,1800,600,"1-3,5-7",0.0,0.29,0.28,0.04,0.0,0.04,0.06,0.06,False
15,9,9528,7480,"1-3,5-7",19,17,12216,12576,"1-3,5-7",0.0,0.38,0.32,0.05,0.0,0.05,0.07,0.06,False
4,0,552,16,"1-3,5-7",8,4,5992,632,"1-3,5-7",0.0,0.25,0.19,0.03,0.0,0.03,0.04,0.04,False
2,0,1672,872,"1-3,5-7",5,0,2344,1000,"1-3,5-7",0.0,0.3,0.29,0.04,0.0,0.04,0.06,0.06,False
8,2,1800,1864,"1-3,5-7",15,9,4968,6968,"1-3,5-7",0.0,0.31,0.3,0.04,0.0,0.04,0.06,0.06,False
6,1,2984,1128,"1-3,5-7",15,11,7992,4392,"1-3,5-7",0.0,0.29,0.28,0.04,0.0,0.04,0.06,0.06,False
8,2,3240,840,"1-3,5-7",19,17,7224,3368,"1-3,5-7",0.0,0.27,0.26,0.04,0.0,0.04,0.05,0.05,False
25,20,19848,19848,"1-3,5-7",18,15,5160,10680,"1-3,5-7",0.0,0.42,0.33,0.06,0.0,0.06,0.07,0.07,False
15,9,2280,1544,"1-3,5-7",10,4,5544,2344,"1-3,5-7",0.0,0.28,0.22,0.04,0.0,0.04,0.05,0.04,False
15,9,3112,4136,"1-3,5-7",22,19,20616,14688,"1-3,5-7",0.0,0.4,0.26,0.05,0.0,0.05,0.06,0.05,False
6,1,4584,1544,"1-3,5-7",5,0,1320,776,"1-3,5-7",0.0,0.32,0.27,0.04,0.0,0.04,0.06,0.05,False
13,8,11064,2792,"1-3,5-7",7,2,3368,1384,"1-3,5-7",0.0,0.28,0.28,0.04,0.0,0.04,0.06,0.06,False
19,17,18336,1800,"1-3,5-7",24,20,8504,8248,"1-3,5-7",0.0,0.29,0.29,0.04,0.0,0.04,0.06,0.06,False
8,4,4264,1416,"1-3,5-7",6,1,2216,1128,"1-3,5-7",0.0,0.27,0.26,0.04,0.0,0.04,0.05,0.05,False
18,14,12216,9912,"1-3,5-7",8,4,6456,2088,"1-3,5-7",0.0,0.36,0.3,0.05,0.0,0.05,0.06,0.06,False
15,10,9912,2664,"1-3,5-7",6,1,5160,1544,"1-3,5-7",0.0,0.31,0.27,0.04,0.0,0.04,0.06,0.05,False
3,0,744,1064,"1-3,5-7",25,20,11064,18336,"1-3,5-7",0.0,0.38,0.27,0.05,0.0,0.05,0.06,0.05,False
18,15,16416,1736,"1-3,5-7",6,1,5160,744,"1-3,5-7",0.0,0.29,0.28,0.04,0.0,0.04,0.06,0.06,False
